frame_name,x,y,points,frame,video_name,subject
frame_0000.png,207,159,p1,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,206,129,p2,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,197,100,p3,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,182,81,p4,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,169,73,p5,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,150,68,p6,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,136,68,p7,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,127,73,p8,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,122,86,p9,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,121,97,p10,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,120,113,p11,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,121,128,p12,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,124,142,p13,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,126,153,p14,0,recording_2022-08-17_trial2-arm,0
frame_0000.png,128,169,p15,0,recording_2022-08-17_trial2-arm,0
